one_week_perf,one_month_perf,three_month_perf,six_month_perf,one_year_perf,bull_bear_signal,technical_rating,ad_trend,avg_volume_6_days,avg_volume_9_days,avg_volume_12_days,avg_volume_15_days,avg_volume_30_days,q1,q2,q3,q4,capital_fund_to_rwa,npl_to_total_loan,return_on_equity,total_loan_loss_provision_to_npl,symbol,market_cap,stock_bonus,eps_ttm,roa_ttm,roe_ttm,pr_ratio
1.15,15.32,40.04,54.93,11.69,-,BY,Accumulation,75688.0,84267.0,77413.0,75094.0,67947.0,-3.47%,-14.26%,65.30%,71.56%,,,,,MHCL (Molung Hydropower Company Limited),5136000000.0,,10.02,0.01,0.02,63.88
1.3,-6.85,7.8,-2.18,121.45,-,-,Distribution,17802.0,15151.0,14107.0,14961.0,24896.0,-4.79%,-8.49%,22.21%,27.70%,,,,,MHL (Mandakini Hydropower Limited),5542794047.0,"[{'id': 1416, 'symbol': 'MHL', 'sector': 'HYDROPOWER', 'bonus': 4.75, 'cash': 0.25, 'total': 5, 'fiscal_year': '2079/2080'}, {'id': 1417, 'symbol': 'MHL', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 5, 'total': 5, 'fiscal_year': '2078/2079'}]",11.6,0.04,0.05,73.9
-1.51,0.34,-9.22,-10.44,5.08,-,-,Distribution,22913.0,23476.0,23144.0,24844.0,26352.0,1.33%,-5.35%,-6.94%,12.32%,,,,,MHNL (Mountain Hydro Nepal Limited),3336125000.0,,-61.06,-0.13,-0.75,-4.37
-0.22,1.04,24.72,56.36,94.93,-,BY,Accumulation,85174.0,68032.0,66664.0,68332.0,70232.0,14.97%,-10.67%,23.25%,48.08%,,,,,MKHC (Maya Khola Hydropower Company Limited),5847900000.0,,1.44,-0.05,-0.22,407.18
0.0,8.04,16.95,6.46,92.53,-,BY,Accumulation,32475.0,30433.0,32109.0,33990.0,34587.0,27.63%,-2.19%,39.34%,60.38%,,,,,MKHL (Mai Khola Hydropower Limited),2838823075.2,,2.86,-0.0,,253.05
0.0,-3.81,3.39,10.48,17.65,-,-,Accumulation,49577.0,46063.0,48643.0,55845.0,65441.0,,,,,,,,,MKJC (Mailung Khola Jal Vidhyut Company Limited),2182654840.0,"[{'id': 1418, 'symbol': 'MKJC', 'sector': 'HYDROPOWER', 'bonus': 2.2211, 'cash': 0.1169, 'total': 2.338, 'fiscal_year': '2079/2080'}]",13.93,0.01,0.02,41.65
3.37,-5.04,20.56,27.72,87.09,-,BY,Accumulation,37826.0,39134.0,41268.0,41690.0,64557.0,34.38%,7.51%,76.00%,76.00%,,,,,MMKJL (Mathillo Mailun Khola Jalvidhyut Limited),7970000000.0,,7.12,-0.0,-0.01,111.95
-3.54,5.16,2.23,-6.57,57.9,-,BY,Distribution,11314.0,15423.0,15281.0,17755.0,15996.0,16.60%,-0.29%,87.27%,87.27%,,,,,MSHL (Mid Solu Hydropower Limited),7551356000.0,,19.35,0.03,0.09,52.16
-2.09,0.68,-41.82,-39.83,-9.03,-,-,Distribution,165088.0,138583.0,123278.0,129808.0,190945.0,,,,,,,,,NGPL (Ngadi Group Power Ltd.),5202094552.0,"[{'id': 1518, 'symbol': 'NGPL', 'sector': 'HYDROPOWER', 'bonus': 4.5, 'cash': 0.25, 'total': 4.75, 'fiscal_year': '2078/2079'}, {'id': 1519, 'symbol': 'NGPL', 'sector': 'HYDROPOWER', 'bonus': 20, 'cash': 1.05, 'total': 21.05, 'fiscal_year': '2077/2078'}, {'id': 1520, 'symbol': 'NGPL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 0.526, 'total': 10.526, 'fiscal_year': '2076/2077'}, {'id': 1521, 'symbol': 'NGPL', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 10, 'total': 10, 'fiscal_year': '2075/2076'}, {'id': 1522, 'symbol': 'NGPL', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 10, 'total': 10, 'fiscal_year': '2074/2075'}, {'id': 1523, 'symbol': 'NGPL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 0.526, 'total': 10.526, 'fiscal_year': '2073/2074'}]",2.51,0.0,0.0,111.94
5.79,12.0,27.75,60.81,125.01,-,BY,Accumulation,52826.0,48308.0,45307.0,42970.0,43846.0,12.93%,2.15%,19.32%,33.05%,,,,,NHDL (Nepal Hydro Developers Ltd.),3421882128.0,"[{'id': 1524, 'symbol': 'NHDL', 'sector': 'HYDROPOWER', 'bonus': 7, 'cash': 0.37, 'total': 7.37, 'fiscal_year': '2079/2080'}, {'id': 1525, 'symbol': 'NHDL', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 0.2632, 'total': 5.2632, 'fiscal_year': '2078/2079'}, {'id': 1526, 'symbol': 'NHDL', 'sector': 'HYDROPOWER', 'bonus': 7, 'cash': 0.3684, 'total': 7.3684, 'fiscal_year': '2077/2078'}, {'id': 1527, 'symbol': 'NHDL', 'sector': 'HYDROPOWER', 'bonus': 15, 'cash': 0.7895, 'total': 15.7895, 'fiscal_year': '2076/2077'}]",24.18,0.1,0.12,39.37
